id	filename	md5	size	state
67c176a3-f1a4-478e-bc9f-c85fab51e1b1	67c176a3-f1a4-478e-bc9f-c85fab51e1b1/11615736-838b-423e-a967-a38e14598395.mirbase21.mirnas.quantification.txt	c7516ecfa3ee8a32f52bf9527ab4d55d	50211	validated
68fa2aa2-56c4-499a-a7a5-328a152c4ed3	68fa2aa2-56c4-499a-a7a5-328a152c4ed3/0041f79c-47fc-4d18-87fa-a26989c67b4c.mirbase21.mirnas.quantification.txt	8ed8d072ee2458e61d854d27871d905a	50375	validated
6c86a9a5-9809-42a4-9a2b-8e4c110bbbbb	6c86a9a5-9809-42a4-9a2b-8e4c110bbbbb/cdcb27f9-188e-4070-831d-0c98627c7d54.mirbase21.mirnas.quantification.txt	2ef4d71f6b8b7eecc71c0a4d0a51f4e5	50439	validated
6d75c12f-4a60-45eb-92f0-44efb1d05980	6d75c12f-4a60-45eb-92f0-44efb1d05980/e9d2b04c-c3eb-4d71-9a33-420badc763ee.mirbase21.mirnas.quantification.txt	ece572c621a4ace9e342f85a21666a0b	50264	validated
70c15617-2509-4334-8806-dc858212de36	70c15617-2509-4334-8806-dc858212de36/4f9c89b8-8395-41f1-ad03-5efb9c1a3bf8.mirbase21.mirnas.quantification.txt	0a1f7e3c54e20a8f6cf23c8dada804f8	50239	validated
76d750ed-7a37-4537-88ff-af88a68d6092	76d750ed-7a37-4537-88ff-af88a68d6092/77a724bd-49ef-4cee-a6b7-0ea370194ed0.mirbase21.mirnas.quantification.txt	8ca8b5ed49107433ae8b2cb80b7ef9d6	50216	validated
79e3fef1-5dd5-4987-ba90-552a132932b7	79e3fef1-5dd5-4987-ba90-552a132932b7/7dc2c098-cb0c-48ef-8dcc-80007e7e3855.mirbase21.mirnas.quantification.txt	f717735af5d5f761c78cbaf08886641e	50564	validated
7cc873ef-1204-4909-bc98-93db4cbb27da	7cc873ef-1204-4909-bc98-93db4cbb27da/94e0206d-2251-4856-aa9b-c18dc80f465a.mirbase21.mirnas.quantification.txt	e0a6bb826561d9dd3e0306287bd9d2b3	50088	validated
7cfcf2e2-fdc6-493a-a87e-5e66ec04c17f	7cfcf2e2-fdc6-493a-a87e-5e66ec04c17f/806e63e0-463e-4370-acf8-a2787c33c683.mirbase21.mirnas.quantification.txt	5673ec099ab62bc2eeb45098b4ffe580	50040	validated
7ea5358d-cef3-4043-8bc9-7350e279d060	7ea5358d-cef3-4043-8bc9-7350e279d060/5eb1c64c-6766-44e2-9842-632b8c3c1831.mirbase21.mirnas.quantification.txt	8348f72184d23e7ac4a33dc0e1658bbf	50348	validated
818f3729-4ffa-4471-a537-f37c21e317ed	818f3729-4ffa-4471-a537-f37c21e317ed/42fc169b-a145-44c5-8beb-b3f3268e7f75.mirbase21.mirnas.quantification.txt	71c587a06d3f29af54d06cc5c4221c01	50287	validated
8537bf67-17d6-4e5e-ab15-6b6300c2d874	8537bf67-17d6-4e5e-ab15-6b6300c2d874/39a34789-fd59-4215-b6f2-e6a1c8d5ba92.mirbase21.mirnas.quantification.txt	80eb7cc72d1bd921a4ecd35ddb454309	50285	validated
91d597e3-1338-4547-bc5a-16aad9253169	91d597e3-1338-4547-bc5a-16aad9253169/54226146-df11-45c7-be4e-3af9dc1540e7.mirbase21.mirnas.quantification.txt	81e68df687d2682aaa810829deb8a596	50367	validated
922da2f2-c844-4d12-bc20-f7ab4cd624ff	922da2f2-c844-4d12-bc20-f7ab4cd624ff/90e60733-1277-47e2-b6c8-2fb446868749.mirbase21.mirnas.quantification.txt	41b4c73b1ccd7cd8f9778e04894eeb1a	50300	validated
928fd5b4-3744-4474-921a-21b5363de74a	928fd5b4-3744-4474-921a-21b5363de74a/66f8d6d3-b335-452a-9dca-10b7730f10bb.mirbase21.mirnas.quantification.txt	a35be700be7a26aff78539f04565ccf0	50386	validated
957646b5-62bf-4563-a741-efcd07ad3e6f	957646b5-62bf-4563-a741-efcd07ad3e6f/4015424e-d713-461f-b5c7-ad244b910901.mirbase21.mirnas.quantification.txt	27eb68b17b2968d9c663bfdfa0087a0b	50272	validated
95c65560-9ada-40de-ac27-bc5f71ddbd53	95c65560-9ada-40de-ac27-bc5f71ddbd53/ec609581-69da-4349-92ef-7f4b76cb6791.mirbase21.mirnas.quantification.txt	bc18fe6dabcd6b02460c137686a39adf	50224	validated
960cf19f-243e-41b6-83bd-71415b28e303	960cf19f-243e-41b6-83bd-71415b28e303/a5d90be4-0242-4d83-a54a-a973b638b4c4.mirbase21.mirnas.quantification.txt	dc6e3adbf2a2a446a347f6c427d37c3c	50240	validated
9853df0e-e711-477d-bf6e-aad34a44af81	9853df0e-e711-477d-bf6e-aad34a44af81/89835cb0-9535-4b9a-8232-490f563937c9.mirbase21.mirnas.quantification.txt	a9162101ee7ad6cdb6dc77bac7167fa6	50166	validated
9881f72a-d6e4-4d8d-b474-0a3c76df0f77	9881f72a-d6e4-4d8d-b474-0a3c76df0f77/630113c8-fa96-4d1e-9c1d-f3044cfaba91.mirbase21.mirnas.quantification.txt	349ac0c50bee260fe7d0b868f5de1453	50248	validated
98fc8c5c-b1b0-49a2-9407-63c6540d3c09	98fc8c5c-b1b0-49a2-9407-63c6540d3c09/c479012a-ab8b-434c-b88e-9bc28931adbe.mirbase21.mirnas.quantification.txt	d0c45669f20fb6a3200c8faccad7f8d7	50171	validated
9c72c1d0-73b3-4cc5-915a-bc92393aaa40	9c72c1d0-73b3-4cc5-915a-bc92393aaa40/dc2acc89-19d4-4795-aa36-983fe1029e86.mirbase21.mirnas.quantification.txt	56968490fa59e1c2413755ec03ebc5eb	50144	validated
a038e7e8-6c0e-449f-8686-33114c3e7c7c	a038e7e8-6c0e-449f-8686-33114c3e7c7c/0a3cde41-87f6-49bb-b6fa-0e9e0f5e8102.mirbase21.mirnas.quantification.txt	44d5d45dead35fdf02a1b9ada5b3c2fd	50163	validated
a07d7c75-7453-4358-82b7-8313808a169d	a07d7c75-7453-4358-82b7-8313808a169d/bff79f43-0a8f-4a8c-8695-2f2bd8234f35.mirbase21.mirnas.quantification.txt	3b92c5ea801b6f0d3f67e4b4983ebb78	50337	validated
a4420ddb-399e-4f21-bbc3-9fa7bf42c525	a4420ddb-399e-4f21-bbc3-9fa7bf42c525/e172d14b-489d-449d-9dfd-2874eb4b377c.mirbase21.mirnas.quantification.txt	1749f4df0172e1fbb0e8ebbb78383328	50125	validated
aded3597-9cb6-4811-9231-daa7887f9307	aded3597-9cb6-4811-9231-daa7887f9307/b1c0b5c7-626f-4708-a432-9194287c35fa.mirbase21.mirnas.quantification.txt	207fdc917787486ceb90031b5c928190	50361	validated
aefec1ad-9a52-4dd0-9415-c1aeefbe4b6b	aefec1ad-9a52-4dd0-9415-c1aeefbe4b6b/88fa6a0d-b092-4200-bcc4-d44525d2ed1e.mirbase21.mirnas.quantification.txt	c442661f7c588b8ff756fad13f070b12	50327	validated
b38b607d-ec7a-40f8-89e4-34477b87564e	b38b607d-ec7a-40f8-89e4-34477b87564e/bb5c7469-2fc8-40ec-9dd8-b6922dd8d68c.mirbase21.mirnas.quantification.txt	2cf7ceb90c4ef52cd7d3cebcfe5254a7	50403	validated
bae717b8-eaaf-4e0a-b3d1-aae35eabbabe	bae717b8-eaaf-4e0a-b3d1-aae35eabbabe/bb797f15-acaf-441d-acba-63161b0b9bd7.mirbase21.mirnas.quantification.txt	a5e022afa5a7f2b304a7a87e6c68033c	50414	validated
bb9af986-a734-4c17-a49e-2c94dc78129d	bb9af986-a734-4c17-a49e-2c94dc78129d/ec2c94e3-86a7-47a4-995a-36ae51c5b57a.mirbase21.mirnas.quantification.txt	c654d97a34ce26e1b4217bec4cbe48d1	50263	validated
bea90154-777e-4462-80b1-b6f12e9428e1	bea90154-777e-4462-80b1-b6f12e9428e1/e13b4565-bb53-404e-a71b-0b37700e9727.mirbase21.mirnas.quantification.txt	4dc27dd292e8d6bf0e4c894017949e54	50266	validated
befb4951-1e89-4d8b-beab-466200e86caf	befb4951-1e89-4d8b-beab-466200e86caf/000550a4-db6b-43ec-86c6-796522f7861f.mirbase21.mirnas.quantification.txt	f4c03df88089ee1acf8d661822dbf592	50003	validated
bf5c0ffa-bb5a-4fa6-9861-6c41b2af7894	bf5c0ffa-bb5a-4fa6-9861-6c41b2af7894/2a2beb9b-5869-421f-ab4c-c36e5bef515c.mirbase21.mirnas.quantification.txt	ef8b07af845ac49ed62bfa4c47c17ac5	50236	validated
c37e3704-3e98-4de0-9139-cee6f05d2607	c37e3704-3e98-4de0-9139-cee6f05d2607/13f40071-fafc-412e-9edf-e67ab7b8bc79.mirbase21.mirnas.quantification.txt	e88176b7479182de5226df573932a6f2	50199	validated
c403d70f-14b7-4745-9249-36802ccd4a0c	c403d70f-14b7-4745-9249-36802ccd4a0c/236d72f6-5db0-436d-99f4-e9af2a633317.mirbase21.mirnas.quantification.txt	234ae454d38dfec6fedcd8ce5a939d43	50425	validated
c538acad-2c04-4842-bdd5-1a32225485d1	c538acad-2c04-4842-bdd5-1a32225485d1/31c47104-601c-4210-af14-ba1a8cbb339f.mirbase21.mirnas.quantification.txt	3444e80b3031c1d47c58545f34fcbdcd	50301	validated
c6b24881-995d-4914-8ba3-652f4d7097c5	c6b24881-995d-4914-8ba3-652f4d7097c5/3db3c77d-c171-4020-82af-1643d1b18c0b.mirbase21.mirnas.quantification.txt	69ba0bd4d31bdc56f19e8586f888bd9b	50407	validated
c6f3a5f1-c7a5-4a42-8649-e01745cd21a3	c6f3a5f1-c7a5-4a42-8649-e01745cd21a3/8154f10d-7460-49cd-b309-829ef0d1ac24.mirbase21.mirnas.quantification.txt	9fee77fada9be1bfc499d5b6e21f7fed	50379	validated
